i,x,y
419,0.65625,0.65625
420,0.657813,0.657813
421,0.659375,0.659375
422,0.660938,0.660938
423,0.6625,0.6625
424,0.664062,0.664063
425,0.665625,0.665625
426,0.667188,0.667188
427,0.66875,0.66875
428,0.670313,0.670313
429,0.671875,0.671875
430,0.673438,0.673438
431,0.675,0.675
432,0.676563,0.676563
433,0.678125,0.678125
434,0.679688,0.679688
435,0.68125,0.68125
436,0.682813,0.682813
437,0.684375,0.684375
438,0.685938,0.685938
439,0.6875,0.6875
440,0.689063,0.689063
441,0.690625,0.690625
442,0.692188,0.692188
443,0.69375,0.69375
444,0.695312,0.695313
445,0.696875,0.696875
446,0.698438,0.698438
447,0.7,0.7
448,0.701563,0.701563
449,0.703125,0.703125
450,0.704688,0.704688
451,0.70625,0.70625
452,0.707813,0.707813
453,0.709375,0.709375
454,0.710938,0.710938
455,0.7125,0.7125
456,0.714063,0.714063
457,0.715625,0.715625
458,0.717188,0.717188
459,0.71875,0.71875
460,0.720313,0.720313
461,0.721875,0.721875
462,0.723438,0.723438
463,0.725,0.725
464,0.726562,0.726563
465,0.728125,0.728125
466,0.729688,0.729688
467,0.73125,0.73125
468,0.732813,0.732813
469,0.734375,0.734375
470,0.735938,0.735938
471,0.7375,0.7375
472,0.739063,0.739063
473,0.740625,0.740625
474,0.742188,0.742188
475,0.74375,0.74375
476,0.745313,0.745313
477,0.746875,0.746875
478,0.748438,0.748438
479,0.75,0.75
480,0.751563,0.751563
481,0.753125,0.753125
482,0.754688,0.754688
483,0.75625,0.75625
484,0.757812,0.757813
485,0.759375,0.759375
486,0.760938,0.760938
487,0.7625,0.7625
488,0.764063,0.764063
489,0.765625,0.765625
490,0.767188,0.767188
491,0.76875,0.76875
492,0.770313,0.770313
493,0.771875,0.771875
494,0.773438,0.773438
495,0.775,0.775
496,0.776563,0.776563
497,0.778125,0.778125
498,0.779688,0.779688
499,0.78125,0.78125
500,0.782813,0.782813
501,0.784375,0.784375
502,0.785938,0.785938
503,0.7875,0.7875
504,0.789062,0.789063
505,0.790625,0.790625
506,0.792188,0.792188
507,0.79375,0.79375
508,0.795313,0.795313
509,0.796875,0.796875
510,0.798438,0.798438
511,0.8,0.8
512,0.801563,0.801563
513,0.803125,0.803125
514,0.804688,0.804688
515,0.80625,0.80625
516,0.807813,0.807813
517,0.809375,0.809375
518,0.810938,0.810938
519,0.8125,0.8125
520,0.814063,0.814063
521,0.815625,0.815625
522,0.817188,0.817188
523,0.81875,0.81875
524,0.820312,0.820313
525,0.821875,0.821875
526,0.823438,0.823438
527,0.825,0.825
528,0.826563,0.826563
529,0.828125,0.828125
530,0.829688,0.829688
531,0.83125,0.83125
532,0.832813,0.832813
533,0.834375,0.834375
534,0.835938,0.835938
535,0.8375,0.8375
536,0.839063,0.839063
537,0.840625,0.840625
538,0.842188,0.842188
539,0.84375,0.84375
540,0.845313,0.845313
541,0.846875,0.846875
542,0.848438,0.848438
543,0.85,0.85
544,0.851562,0.851563
545,0.853125,0.853125
546,0.854688,0.854688
547,0.85625,0.85625
548,0.857813,0.857813
549,0.859375,0.859375
550,0.860938,0.860938
551,0.8625,0.8625
552,0.864063,0.864063
553,0.865625,0.865625
554,0.867188,0.867188
555,0.86875,0.86875
556,0.870313,0.870313
557,0.871875,0.871875
558,0.873438,0.873438
559,0.875,0.875
560,0.876563,0.876563
561,0.878125,0.878125
562,0.879688,0.879688
563,0.88125,0.88125
564,0.882812,0.882813
565,0.884375,0.884375
566,0.885938,0.885938
567,0.8875,0.8875
568,0.889063,0.889063
569,0.890625,0.890625
570,0.892188,0.892188
571,0.89375,0.89375
572,0.895313,0.895313
573,0.896875,0.896875
574,0.898438,0.898438
575,0.9,0.9
576,0.901563,0.901563
577,0.903125,0.903125
578,0.904688,0.904688
579,0.90625,0.90625
580,0.907813,0.907813
581,0.909375,0.909375
582,0.910938,0.910938
583,0.9125,0.912499
584,0.914062,0.914063
585,0.915625,0.915624
586,0.917188,0.917189
587,0.91875,0.918748
588,0.920313,0.920314
589,0.921875,0.921872
590,0.923438,0.923441
591,0.925,0.924996
592,0.926563,0.926568
593,0.928125,0.928118
594,0.929688,0.929697
595,0.93125,0.931238
596,0.932813,0.932828
597,0.934375,0.934355
598,0.935938,0.935964
599,0.9375,0.937466
600,0.939063,0.939106
601,0.940625,0.940569
602,0.942188,0.942261
603,0.94375,0.943655
604,0.945312,0.945435
605,0.946875,0.946717
606,0.948438,0.948642
607,0.95,0.949735
608,0.951563,0.951905
609,0.953125,0.952682
610,0.954688,0.95526
611,0.95625,0.955509
612,0.957813,0.958771
613,0.959375,0.958135
614,0.960938,0.962541
615,0.9625,0.960425
616,0.964063,0.966746
617,0.965625,0.962153
618,0.967188,0.971679
619,0.96875,0.96294
620,0.970313,0.977828
621,0.971875,0.962154
622,0.973438,0.986013
623,0.975,0.958733
624,0.976562,0.997606
625,0.978125,0.950904
626,0.979688,1.0149
627,0.98125,0.9357
628,0.982813,1.04174
629,0.984375,0.908154
630,0.985938,1.08454
631,0.9875,0.859956
632,0.989063,1.15405
633,0.990625,0.7772
634,0.992188,1.26827
635,0.99375,0.636617
636,0.995313,1.45729
637,0.996875,0.399269
638,0.998438,1.77149
