i,x,y
613,0.959375,0.0223549
614,0.960938,0.0215421
615,0.9625,0.0207256
616,0.964063,0.0199054
617,0.965625,0.0190814
618,0.967188,0.0182537
619,0.96875,0.0174223
620,0.970313,0.0165871
621,0.971875,0.0157482
622,0.973438,0.0149056
623,0.975,0.0140591
624,0.976562,0.013209
625,0.978125,0.012355
626,0.979688,0.0114972
627,0.98125,0.0106357
628,0.982813,0.00977039
629,0.984375,0.00890128
630,0.985938,0.00802836
631,0.9875,0.00715163
632,0.989063,0.00627109
633,0.990625,0.00538673
634,0.992188,0.00449854
635,0.99375,0.00360652
636,0.995313,0.00271066
637,0.996875,0.00181096
638,0.998438,0.000907409
